states,x,y
Andhra Pradesh,-62.0,-92.0
Arunachal Pradesh,183.0,111.0
Assam,156.0,76.0
Bihar,48.0,66.0
Chhattisgarh,-25.0,-1.0
Goa,-174.0,-104.0
Gujarat,-204.0,24.0
Haryana,-95.0,133.0
Himachal Pradesh,-77.0,185.0
Jammu And Kashmir,-104.0,227.0
Jharkhand,30.0,28.0
Karnataka,-132.0,-121.0
Kerala,-118.0,-196.0
Madhya Pradesh,-114.0,22.0
Maharashtra,-158.0,-45.0
Manipur,177.0,46.0
Meghalaya,120.0,58.0
Mizoram,166.0,17.0
Nagaland,190.0,68.0
Odisha,12.0,-33.0
Punjab,-136.0,165.0
Rajasthan,-174.0,95.0
Sikkim,93.0,99.0
Tamil Nadu,-85.0,-181.0
Telangana,-76.0,-62.0
Tripura,110.0,25.0
Uttar Pradesh,-61.0,102.0
Uttarakhand,-56.0,157.0
West Bengal,67.0,19.0
